ID,Emissions per kilogram,Emissions per 1000 kilocalories,Emissions per 100 grams of protein,Emissions per 100 grams of fat,Land use per kilogram,Land use per 1000 kilocalories,Land use per 100 grams of protein,Land use per 100 grams of fat,Eutrophication per kilogram,Eutrophication per 1000 kilocalories,Eutrophication per 100 grams of protein,Eutrophication per 100 grams of fat,Water scarcity per kilogram,Water scarcity per 1000 kilocalories,Water scarcity per 100 grams of protein,Water scarcity per 100 grams of fat,Water withdrawals per kilogram,Water withdrawals per 1000 kilocalories,Water withdrawals per 100 grams of protein,Water withdrawals per 100 grams of fat,biodiversity_kg,biodiversity_1000kcal,biodiversity_100gprotein,biodiversity_100gfat
44,1.2205535,0.341371551,0.625924872,0.458854699,3.4277066,0.958681057,1.757798256,1.288611504,5.994779433,1.676655022,3.074245863,2.253676479,7534.34843,2107.250696,3863.768426,2832.461816,210.9035453,58.98673879,108.1556643,79.28704712,104.987747,29.36358798,53.83987026,39.46907782
45,9.272323308,5.830486359,4.518433534,27.71628969,9.220958918,5.796038812,4.493710382,27.51873677,37.36047303,23.49228853,18.20580082,111.6232757,13741.15923,8604.895944,6694.626079,40700.25143,563.9170655,353.0153887,274.1710124,1657.567662,231.8659254,145.4313644,112.7709924,685.631367
46,5.434486846,2.329614782,3.661769617,4.582127948,6.0534075,2.560246277,4.219892702,5.090691294,22.52574303,9.611961764,15.36217799,18.97367192,9788.14259,4050.58259,7188.043341,8177.082841,379.1261941,157.4170966,276.8002661,316.1704631,146.268567,61.90498919,101.8164018,122.9324775
47,3.616545986,2.663485376,4.88686552,7.492870607,3.977668291,2.940073657,5.434151756,8.504432406,17.29154263,12.75564581,23.60227807,37.14049616,11147.17667,8064.663067,15602.01261,25467.809,436.1916329,316.9403103,609.8383282,1001.431524,94.06471329,69.8145867,128.0268508,200.3821679
48,2.383995705,1.950933525,5.473897768,11.4625122,3.312893034,2.801367827,7.717002754,15.84542301,11.32438315,9.547649046,26.32020375,60.10634012,11734.06571,10243.17621,28672.1568,77703.80856,413.2280334,352.2680358,1016.442239,2932.776545,73.53329072,57.72068607,171.7612572,301.6426979
49,2.946764557,1.900545719,4.192450587,6.753554523,3.57544512,2.306030864,5.19615986,8.19257081,12.3718626,7.95920014,17.70549622,28.23996821,10478.90228,6856.732822,16280.17478,25795.54429,309.9990519,202.5102641,466.6263903,755.2238778,86.28702792,55.86160978,123.5125077,187.0323268
50,8.164302486,4.020154659,5.400881151,6.917650303,8.330555241,4.074470408,5.523112878,6.976656284,34.34878474,16.71047203,22.78661244,28.60703865,11978.28066,5656.342492,7956.567821,9736.634987,483.1135861,233.9368951,318.7768597,407.7864726,202.4655134,99.70891219,134.010721,171.4751725
51,9.981881302,5.095226685,5.344500902,7.672648371,9.851753858,5.023467052,5.270619724,7.568748982,39.86821281,20.32707507,21.31994277,30.62936402,14026.46297,7180.760486,7525.072404,10792.51955,577.2318276,294.4683031,308.2576931,443.2593375,243.8842136,124.3694881,130.4889331,187.372242
52,9.58345622,4.65031069,5.105153328,6.969776841,9.506969857,4.613540502,5.063859961,6.938754984,39.01562611,18.93583153,20.7818723,28.53812899,15450.91957,7500.730316,8188.661956,11428.46387,631.8339507,306.8789593,335.4620744,470.1170308,235.5761084,114.3153112,125.6055428,171.6392636
53,1.344352867,0.594860302,0.963601032,5.13340978,15.56560806,5.913544399,9.259367582,46.30573139,9.684822133,4.90735839,7.93387591,49.4777335,9747.767149,5616.601469,8600.363964,89102.64078,161.3853583,98.91087092,161.7227665,1299.136592,391.9651222,134.0578799,205.8189529,906.0135353
